Zip Code,Territory Name,Region Name
01474,"Pittsburg, PA",Northeast
01475,"Atlanta, GA",Southeast
01501,"Pittsburg, PA",Northeast
01503,"Pittsburg, PA",Northeast
01504,"Pittsburg, PA",Northeast
01505,"Pittsburg, PA",Northeast
01506,"Pittsburg, PA",Northeast
01507,"Pittsburg, PA",Northeast
01508,"Pittsburg, PA",Northeast
01509,"Pittsburg, PA",Northeast
01510,"Pittsburg, PA",Northeast
01515,"Pittsburg, PA",Northeast
01516,"Pittsburg, PA",Northeast
01518,"Pittsburg, PA",Northeast
01519,"Pittsburg, PA",Northeast
01520,"Pittsburg, PA",Northeast
01521,"Pittsburg, PA",Northeast
01522,"Pittsburg, PA",Northeast
01523,"Pittsburg, PA",Northeast
01524,"Pittsburg, PA",Northeast
01525,"Pittsburg, PA",Northeast
01526,"Pittsburg, PA",Northeast
01527,"Pittsburg, PA",Northeast
01529,"Pittsburg, PA",Northeast
01531,"Pittsburg, PA",Northeast
01532,"Pittsburg, PA",Northeast
01534,"Pittsburg, PA",Northeast
01535,"Pittsburg, PA",Northeast
01536,"Pittsburg, PA",Northeast
01537,"Pittsburg, PA",Northeast
01538,"Pittsburg, PA",Northeast
01540,"Pittsburg, PA",Northeast
01541,"Pittsburg, PA",Northeast
01542,"Pittsburg, PA",Northeast
01543,"Pittsburg, PA",Northeast
01545,"Pittsburg, PA",Northeast
01546,"Pittsburg, PA",Northeast
01550,"Pittsburg, PA",Northeast
01560,"Pittsburg, PA",Northeast
01561,"Pittsburg, PA",Northeast
01562,"Pittsburg, PA",Northeast
01564,"Pittsburg, PA",Northeast
01566,"Pittsburg, PA",Northeast
01568,"Pittsburg, PA",Northeast
01569,"Pittsburg, PA",Northeast
01570,"Pittsburg, PA",Northeast
01571,"Pittsburg, PA",Northeast
01581,"Pittsburg, PA",Northeast
01583,"Pittsburg, PA",Northeast
01585,"Pittsburg, PA",Northeast
01586,"Pittsburg, PA",Northeast
01588,"Pittsburg, PA",Northeast
01590,"Pittsburg, PA",Northeast
01601,"Pittsburg, PA",Northeast
01602,"Pittsburg, PA",Northeast
01603,"Pittsburg, PA",Northeast
01604,"Pittsburg, PA",Northeast
01605,"Pittsburg, PA",Northeast
01606,"Pittsburg, PA",Northeast
01607,"Pittsburg, PA",Northeast
01608,"Pittsburg, PA",Northeast
01609,"Pittsburg, PA",Northeast
01610,"Pittsburg, PA",Northeast
01611,"Pittsburg, PA",Northeast
01612,"Pittsburg, PA",Northeast
01613,"Pittsburg, PA",Northeast
01614,"Pittsburg, PA",Northeast
01615,"Pittsburg, PA",Northeast
01653,"Pittsburg, PA",Northeast
01655,"Pittsburg, PA",Northeast
01701,"Pittsburg, PA",Northeast
01702,"Pittsburg, PA",Northeast
01703,"Pittsburg, PA",Northeast
01704,"Pittsburg, PA",Northeast
01705,"Pittsburg, PA",Northeast
01718,"Pittsburg, PA",Northeast
01719,"Pittsburg, PA",Northeast
01720,"Pittsburg, PA",Northeast
01721,"Pittsburg, PA",Northeast
01730,"Pittsburg, PA",Northeast
01731,"Pittsburg, PA",Northeast
01740,"Pittsburg, PA",Northeast
01741,"Pittsburg, PA",Northeast
